"","sex","Age_Group","n"
"1","Female","00 - 16",15547
"2","Female","00 - 20",19403
"3","Female","16 - 38",19407
"4","Female","18 - 34",14164
"5","Female","20 - 41",17681
"6","Female","32 - 54",14277
"7","Female","41 - 63",12639
"8","Female","48 - 69",11293
"9","Female","50 - 73",11137
"10","Female","50 - 72",11137
"11","Female","62 - 86",5265
"12","Female","76 - 98",682
"13","Male","00 - 16",-16266
"14","Male","00 - 20",-20034
"15","Male","16 - 38",-15825
"16","Male","18 - 34",-11368
"17","Male","20 - 41",-13914
"18","Male","32 - 54",-12308
"19","Male","41 - 63",-11668
"20","Male","48 - 69",-10649
"21","Male","50 - 73",-10450
"22","Male","50 - 72",-10450
"23","Male","62 - 86",-4509
"24","Male","76 - 98",-395
