"","Data.Period","Provider_Shortname","Health.Home.Name","SubMeasure.ID","AdaptedNCQAMean","SumTotalEligible","AdaptedCompliant","TotalEligible","PercentCompliant","PerformanceLevel","PercentTotalElig"
"1",2022-11-30,"CBI","COMMUNITY BRIDGES","AMM2",0.5729,5840,132,217,0.608294930875576,0.0353949308755761,0.0371575342465753
"2",2022-11-30,"CBI","COMMUNITY BRIDGES","FUH7",0.3936,5840,32,100,0.32,-0.0736,0.0171232876712329
"3",2022-11-30,"CBI","COMMUNITY BRIDGES","HDO",0.93,5840,245,245,1,0.07,0.0419520547945205
"4",2022-11-30,"CPIH","CHANGE POINT INTEGRATED HEALTH","AMM2",0.5729,5840,183,274,0.667883211678832,0.0949832116788322,0.0469178082191781
"5",2022-11-30,"CPIH","CHANGE POINT INTEGRATED HEALTH","FUH7",0.3936,5840,72,146,0.493150684931507,0.0995506849315068,0.025
"6",2022-11-30,"CPIH","CHANGE POINT INTEGRATED HEALTH","HDO",0.93,5840,478,478,1,0.07,0.0818493150684931
"7",2022-11-30,"LCBHC","LITTLE COLORADO BEHAVIORAL HEALTH","AMM2",0.5729,5840,48,82,0.585365853658537,0.0124658536585366,0.014041095890411
"8",2022-11-30,"LCBHC","LITTLE COLORADO BEHAVIORAL HEALTH","FUH7",0.3936,5840,13,40,0.325,-0.0686,0.00684931506849315
"9",2022-11-30,"LCBHC","LITTLE COLORADO BEHAVIORAL HEALTH","HDO",0.93,5840,173,173,1,0.07,0.0296232876712329
"10",2022-11-30,"MMHC","MOHAVE MENTAL HEALTH","AMM2",0.5729,5840,254,376,0.675531914893617,0.102631914893617,0.0643835616438356
"11",2022-11-30,"MMHC","MOHAVE MENTAL HEALTH","FUH7",0.3936,5840,92,182,0.505494505494505,0.111894505494505,0.0311643835616438
"12",2022-11-30,"MMHC","MOHAVE MENTAL HEALTH","HDO",0.93,5840,896,896,1,0.07,0.153424657534247
"13",2022-11-30,"PH","POLARA HEALTH","AMM2",0.5729,5840,109,162,0.672839506172839,0.0999395061728395,0.0277397260273973
"14",2022-11-30,"PH","POLARA HEALTH","FUH7",0.3936,5840,39,81,0.481481481481481,0.0878814814814814,0.0138698630136986
"15",2022-11-30,"PH","POLARA HEALTH","HDO",0.93,5840,242,242,1,0.07,0.0414383561643836
"16",2022-11-30,"SBHS","SOUTHWEST BEHAVIORAL HEALTH","AMM2",0.5729,5840,322,515,0.625242718446602,0.052342718446602,0.0881849315068493
"17",2022-11-30,"SBHS","SOUTHWEST BEHAVIORAL HEALTH","FUH7",0.3936,5840,91,230,0.395652173913043,0.00205217391304346,0.0393835616438356
"18",2022-11-30,"SBHS","SOUTHWEST BEHAVIORAL HEALTH","HDO",0.93,5840,843,843,1,0.07,0.144349315068493
"19",2022-11-30,"SHG","SPECTRUM HEALTH GROUP","AMM2",0.5729,5840,63,99,0.636363636363636,0.0634636363636364,0.0169520547945205
"20",2022-11-30,"SHG","SPECTRUM HEALTH GROUP","FUH7",0.3936,5840,23,59,0.389830508474576,-0.00376949152542372,0.0101027397260274
"21",2022-11-30,"SHG","SPECTRUM HEALTH GROUP","HDO",0.93,5840,116,116,1,0.07,0.0198630136986301
"22",2022-11-30,"TGC","THE GUIDANCE CENTER","AMM2",0.5729,5840,70,109,0.642201834862385,0.0693018348623854,0.0186643835616438
"23",2022-11-30,"TGC","THE GUIDANCE CENTER","FUH7",0.3936,5840,24,55,0.436363636363636,0.0427636363636363,0.00941780821917808
"24",2022-11-30,"TGC","THE GUIDANCE CENTER","HDO",0.93,5840,120,120,1,0.07,0.0205479452054795
